Nombre,Precio,Proveedor,MPN,EAN,Tamaño,RPM,Cache
Seagate IronWolf Hard Drive,$215.37 USD,Seagate,ST8000VN0022,763649110874,8 TB,7.2,256.0
Seagate IronWolf Hard Drive,$330.04 USD,Seagate,ST12000VN0007,763649117347,12 TB,7.2,256.0
Seagate IronWolf Hard Drive 1 TB,$50.04 USD,Seagate,ST1000VN002,8719706002370,1 TB,5900.0,64.0
Seagate Ironwolf Hard Drive 14 TB,$471.49 USD,Seagate,ST14000VN0008,8719706004343,14 TB,7200.0,256.0
Seagate IronWolf Hard Drive 6 TB,$166.83 USD,Seagate,ST6000VN0033,8719706003674,6 TB,7200.0,256.0
Seagate IronWolf Hard Drive 8 TB,$177.71 USD,Seagate,ST8000VN004,763649125069,8 TB,7200.0,256.0
Seagate IronWolf Pro Hard Drive,$144.34 USD,Seagate,ST4000NE0025,763649098554,4 TB,7.2,128.0
Seagate IronWolf Pro Hard Drive,$207.04 USD,Seagate,ST6000NE0023,763649111321,6 TB,7.2,256.0
Seagate IronWolf Pro Hard Drive,$269.11 USD,Seagate,ST8000NE0004,763649116104,8 TB,7.2,256.0
Seagate IronWolf Pro Hard Drive,$514.18 USD,Seagate,ST12000NE0007,763649103210,12 TB,7.2,256.0
Seagate IronWolf Pro Hard Drive 12 TB,$412.46 USD,Seagate,ST12000NE0008,763649121788,12 TB,7200.0,256.0
Seagate SkyHawk Hard Drive,$206.62 USD,Seagate,ST10000VX0004,7636490076558,10 TB,7.2,256.0
Seagate SkyHawk Hard Drive 4 TB,$123.5 USD,Seagate,ST4000VX007,763649097953,4 TB,7200.0,64.0
Western Blue Mobile 1 TB,$47.13 USD,Western Digital,WD10SPZX,718037845319,1 TB,5400.0,128.0
Western Blue Mobile 2 TB,$72.52 USD,Western Digital,WD20SPZX,718037847405,2 TB,5400.0,128.0
Western Digital Black 1 TB,$58.01 USD,Western Digital,WD1003FZEX,718037786469,1 TB,7200.0,64.0
Western Digital Black 2 TB,$100.81 USD,Western Digital,WD2003FZEX,718037810553,2 TB,7200.0,64.0
"Western Digital Black 2,5 Zoll",$65.97 USD,Western Digital,WD10JPLX,718037846729,1 TB,7.2,32.0
Western Digital Black 4 TB,$141.43 USD,Western Digital,WD4005FZBX,718037856001,4 TB,7200.0,256.0
Western Digital Black 6 TB,$174.08 USD,Western Digital,WD6003FZBX,718037855998,6 TB,7200.0,256.0
Western Digital Blue,$240.51 USD,Western Digital,WD60EZRZ,718037840192,6 TB,5.4,64.0
Western Digital Blue 1 TB,$43.52 USD,Western Digital,WD10EZRZ,718037840147,1 TB,5400.0,64.0
Western Digital Blue 1 TB,$50.75 USD,Western Digital,WD10EZEX,718037779911,1 TB,7200.0,64.0
Western Digital Blue 2 TB,$55.12 USD,Western Digital,WD20EZAZ,718037856254,2 TB,5.4,256.0
Western Digital Blue 2 TB,$63.1 USD,Western Digital,WD20EZRZ,718037840222,2 TB,5400.0,64.0
"Western Digital Blue 2,5 Zoll",$61.89 USD,Western Digital,WD10JPVX,718037800936,1 TB,5.4,8.0
Western Digital Blue 3 TB,$80.04 USD,Western Digital,WD30EZRZ,718037840154,3 TB,5400.0,64.0
Western Digital Blue 4 TB,$122.23 USD,Western Digital,WD40EZRZ,718037840161,4 TB,5400.0,64.0
Western Digital Blue 6 TB,$137.81 USD,Western Digital,WD60EZAZ,718037855684,6 TB,5400.0,256.0
Western Digital Gold 1 TB,$87.02 USD,Western Digital,WD1005FBYZ,718037820132,1 TB,7200.0,128.0
Western Digital Gold 10 TB,$235.73 USD,Western Digital,WD102KRYZ,718037872681,10 TB,7200.0,256.0
Western Digital Gold 12 TB,$282.87 USD,Western Digital,WD121KRYZ,718037854519,12 TB,7200.0,256.0
Western Digital Gold 14 TB,$315.52 USD,Western Digital,WD141KRYZ,718037872674,14 TB,7200.0,512.0
Western Digital Gold 2 TB,$115.32 USD,Western Digital,WD2005FBYZ,718037847924,2 TB,7200.0,128.0
Western Digital Gold 4 TB,$154.48 USD,Western Digital,WD4003FRYZ,718037858098,4 TB,7200.0,256.0
Western Digital Gold 6 TB,$192.2 USD,Western Digital,WD6003FRYZ,718037855936,6 TB,7200.0,256.0
Western Digital Gold 8 TB,$217.59 USD,Western Digital,WD8004FRYZ,718037858371,8 TB,7200.0,256.0
"Western Digital Gold, Intellipower",$233.85 USD,Western Digital,WD6002FRYZ,718037845470,6 TB,7.2,128.0
"Western Digital Gold, Intellipower",$316.51 USD,Western Digital,WD8003FRYZ,718037858104,8 TB,7.2,256.0
"Western Digital Gold, Intellipower",$413.22 USD,Western Digital,WD101KRYZ,718037847733,10 TB,7.2,256.0
Western Digital Purple 8 TB,$188.97 USD,Western Digital,WD84PURZ,718037887906,8 TB,7.2,256.0
"Western Digital Purple, Intellipower",$270.51 USD,Western Digital,WD100PURZ,718037856087,10 TB,5.4,256.0
Western Digital Red 1 TB,$50.77 USD,Western Digital,WD10EFRX,718037799650,1 TB,5400.0,64.0
Western Digital Red 1 TB,$90.82 USD,Western Digital,WD10JFCX,718037804149,1 TB,5400.0,16.0
Western Digital Red 10 TB,$259.39 USD,Western Digital,WD101EFAX,718037866758,10 TB,5.4,256.0
Western Digital Red 10 TB,$327.86 USD,Western Digital,WD100EFAX,718037847689,10 TB,5400.0,256.0
Western Digital Red 12 TB,$297.94 USD,Western Digital,WD120EFAX,718037866260,12 TB,5400.0,256.0
Western Digital Red 14 TB,$457.18 USD,Western Digital,WD140EFFX,718037872841,14 TB,5400.0,512.0
Western Digital Red 2 TB,$54.42 USD,Western Digital,WD20EFAX,718037858135,2 TB,5400.0,256.0
Western Digital Red 2 TB,$72.53 USD,Western Digital,WD20EFRX,718037799667,2 TB,5400.0,64.0
Western Digital Red 3 TB,$61.65 USD,Western Digital,WD30EFAX,718037861074,3 TB,5400.0,256.0
Western Digital Red 3 TB,$89.93 USD,Western Digital,WD30EFRX,718037799674,3 TB,5400.0,64.0
Western Digital Red 4 TB,$84.22 USD,Western Digital,WD40EFAX,718037861036,4 TB,5400.0,256.0
Western Digital Red 4 TB,$116.05 USD,Western Digital,WD40EFRX,718037810058,4 TB,5400.0,64.0
Western Digital Red 6 TB,$101.55 USD,Western Digital,WD60EFAX,718037860947,6 TB,5400.0,256.0
Western Digital Red 8 TB,$217.61 USD,Western Digital,WD80EFAX,718037854694,8 TB,5400.0,256.0
Western Digital Red Plus 8 TB,$168.11 USD,Western Digital,WD80EFZZ,718037896755,8 TB,5.64,128.0
Western Digital Red Plus 10 TB,$199.47 USD,Western Digital,WD101EFBX,718037886206,10 TB,7.2,256.0
Western Digital Red Plus 12 TB,$228.49 USD,Western Digital,WD120EFBX,718037886190,12 TB,7.2,256.0
Western Digital Red Plus 14 TB,$297.4 USD,Western Digital,WD140EFGX,718037886183,14 TB,7.2,512.0
Western Digital Red Plus 2 TB,$54.4 USD,Western Digital,WD20EFZX,718037884370,2 TB,5.4,128.0
Western Digital Red Plus 3 TB,$65.28 USD,Western Digital,WD30EFZX,718037884387,3 TB,5.4,128.0
Western Digital Red Plus 4 TB,$79.78 USD,Western Digital,WD40EFZX,718037884394,4 TB,5.4,128.0
Western Digital Red Plus 6 TB,$104.44 USD,Western Digital,WD60EFZX,718037821542,6 TB,5.64,128.0
Western Digital Red Plus 8 TB,$169.0 USD,Western Digital,WD80EFBX,718037886213,8 TB,7.2,256.0
Western Digital Red Pro 10 TB,$35.49 USD,Western Digital,WD101KFBX,718037847719,10 TB,7200.0,256.0
Western Digital Red Pro 10 TB,$235.73 USD,Western Digital,WD102KFBX,718037866796,10 TB,7200.0,256.0
Western Digital Red Pro 12 TB,$257.49 USD,Western Digital,WD121KFBX,718037866246,12 TB,7200.0,256.0
Western Digital Red Pro 14 TB,$297.38 USD,Western Digital,WD141KFGX,718037872858,14 TB,7.2,512.0
Western Digital Red Pro 16 TB,$319.14 USD,Western Digital,WD161KFGX,718037877662,16 TB,7.2,512.0
Western Digital Red Pro 18 TB,$326.4 USD,Western Digital,WD181KFGX,718037875729,18 TB,7.2,512.0
Western Digital Red Pro 2 TB,$79.78 USD,Western Digital,WD2002FFSX,718037835570,2 TB,7200.0,64.0
Western Digital Red Pro 4 TB,$147.95 USD,Western Digital,WD4003FFBX,718037855967,4 TB,7200.0,256.0
Western Digital Red Pro 6 TB,$195.11 USD,Western Digital,WD6003FFBX,718037855943,6 TB,7200.0,256.0
Western Digital Red Pro 8 TB,$215.68 USD,Western Digital,WD8003FFBX,718037858425,8 TB,7200.0,256.0
"Western Digital Red, Intellipower",$196.09 USD,Western Digital,WD60EFRX,718037827582,6 TB,5.4,64.0
